NAME,LINK,DESCRIPTION,ChatGPT_RQ1,Priority,Final_Result,Rationale
Website updates to satisfy Apache privacy policies,https://issues.apache.org/jira/browse/KAFKA-13868,"The ASF has updated its privacy policy and all websites must be compliant. 

The full guidelines can be found in https://privacy.apache.org/faq/committers.html 

The Kafka website has a few issues, including: 

It's missing a link to the privacy policy: https://privacy.apache.org/policies/privacy-policy-public.html 
It's using Google Analytics 
It's using Google Fonts 
It's using scripts hosted on Cloudflare CDN 
Embedded videos don't have an image placeholder 
As per the email sent to the PMC, all updates have to be done by July 22.","B: The Kafka website is missing a link to the privacy policy: https://privacy.apache.org/policies/privacy-policy-public.html.  
B: The Kafka website is using Google Analytics.  
B: The Kafka website is using Google Fonts.  
B: The Kafka website is using scripts hosted on Cloudflare CDN.  
B: Embedded videos on the Kafka website don't have an image placeholder.  
B: All updates to the Kafka website must be completed by July 22.",Critical,FALSE,Over-decomposition
ApplicationMasterProtocolPBClientImpl.allocate fails with EOFException when RPC privacy is enabled,https://issues.apache.org/jira/browse/HADOOP-14062,"When privacy is enabled for RPC (hadoop.rpc.protection = privacy), ApplicationMasterProtocolPBClientImpl.allocate sometimes (but not always) fails with an EOFException. I've reproduced this with Spark 2.0.2 built against latest branch-2.8 and with a simple distcp job on latest branch-2.8. 

Steps to reproduce using distcp: 

1. Set hadoop.rpc.protection equal to privacy 
2. Write data to HDFS. I did this with Spark as follows: 

sc.parallelize(1 to (5*1024*1024)).map(k => Seq(k, org.apache.commons.lang.RandomStringUtils.random(1024, ""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWxyZ0123456789"")).mkString(""|"")).toDF().repartition(100).write.parquet(""hdfs:///tmp/testData"") 
3. Attempt to distcp that data to another location in HDFS. For example: 

hadoop distcp -Dmapreduce.framework.name=yarn hdfs:///tmp/testData hdfs:///tmp/testDataCopy 
I observed this error in the ApplicationMaster's syslog: 

2016-12-19 19:13:50,097 INFO [eventHandlingThread] org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler: Event Writer setup for JobId: job_1482189777425_0004, File: hdfs://<namenode_host>:8020/tmp/hadoop-yarn/staging/<hdfs_user>/.staging/job_1482189777425_0004/job_1482189777425_0004_1.jhist 
2016-12-19 19:13:51,004 INFO [RMCommunicator Allocator] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator: Before Scheduling: PendingReds:0 ScheduledMaps:4 ScheduledReds:0 AssignedMaps:0 AssignedReds:0 CompletedMaps:0 CompletedReds:0 ContAlloc:0 ContRel:0 HostLocal:0 RackLocal:0 
2016-12-19 19:13:51,031 INFO [RMCommunicator Allocator] org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor: getResources() for application_1482189777425_0004: ask=1 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:22528, vCores:23> knownNMs=3 
2016-12-19 19:13:52,043 INFO [RMCommunicator Allocator] org.apache.hadoop.io.retry.RetryInvocationHandler: Exception while invoking ApplicationMasterProtocolPBClientImpl.allocate over null. Retrying after sleeping for 30000ms. 
java.io.EOFException: End of File Exception between local host is: ""<application_master_host>/<ip_addr>""; destination host is: ""<rm_host>"":8030; : java.io.EOFException; For more details see: http://wiki.apache.org/hadoop/EOFException 
at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method) 
at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62) 
at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45) 
at java.lang.reflect.Constructor.newInstance(Constructor.java:422) 
at org.apache.hadoop.net.NetUtils.wrapWithMessage(NetUtils.java:801) 
at org.apache.hadoop.net.NetUtils.wrapException(NetUtils.java:765) 
at org.apache.hadoop.ipc.Client.getRpcResponse(Client.java:1486) 
at org.apache.hadoop.ipc.Client.call(Client.java:1428) 
at org.apache.hadoop.ipc.Client.call(Client.java:1338) 
at org.apache.hadoop.ipc.ProtobufRpcEngine$Invoker.invoke(ProtobufRpcEngine.java:227) 
at org.apache.hadoop.ipc.ProtobufRpcEngine$Invoker.invoke(ProtobufRpcEngine.java:116) 
at com.sun.proxy.$Proxy80.allocate(Unknown Source) 
at org.apache.hadoop.yarn.api.impl.pb.client.ApplicationMasterProtocolPBClientImpl.allocate(ApplicationMasterProtocolPBClientImpl.java:77) 
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) 
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) 
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 
at java.lang.reflect.Method.invoke(Method.java:497) 
at org.apache.hadoop.io.retry.RetryInvocationHandler.invokeMethod(RetryInvocationHandler.java:398) 
at org.apache.hadoop.io.retry.RetryInvocationHandler$Call.invokeMethod(RetryInvocationHandler.java:163) 
at org.apache.hadoop.io.retry.RetryInvocationHandler$Call.invoke(RetryInvocationHandler.java:155) 
at org.apache.hadoop.io.retry.RetryInvocationHandler$Call.invokeOnce(RetryInvocationHandler.java:95) 
at org.apache.hadoop.io.retry.RetryInvocationHandler.invoke(RetryInvocationHandler.java:335) 
at com.sun.proxy.$Proxy81.allocate(Unknown Source) 
at org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor.makeRemoteRequest(RMContainerRequestor.java:204) 
at org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator.getResources(RMContainerAllocator.java:735) 
at org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator.heartbeat(RMContainerAllocator.java:269) 
at org.apache.hadoop.mapreduce.v2.app.rm.RMCommunicator$AllocatorRunnable.run(RMCommunicator.java:281) 
at java.lang.Thread.run(Thread.java:745) 
Caused by: java.io.EOFException 
at java.io.DataInputStream.readInt(DataInputStream.java:392) 
at org.apache.hadoop.ipc.Client$IpcStreams.readResponse(Client.java:1785) 
at org.apache.hadoop.ipc.Client$Connection.receiveRpcResponse(Client.java:1156) 
at org.apache.hadoop.ipc.Client$Connection.run(Client.java:1053) 
Marking as ""critical"" since this blocks YARN users from encrypting RPC in their Hadoop clusters.","B: When privacy is enabled for RPC (hadoop.rpc.protection = privacy), ApplicationMasterProtocolPBClientImpl.allocate sometimes fails with an EOFException.

B: The EOFException occurs intermittently when attempting to allocate resources via ApplicationMasterProtocolPBClientImpl.

B: The bug can be reproduced by setting hadoop.rpc.protection to privacy and running a distcp job.

B: Detailed steps to reproduce the bug include writing data to HDFS using Spark and then attempting to run a distcp command to copy that data.

B: The error is logged in the ApplicationMaster's syslog when the EOFException occurs during resource allocation.

B: The issue should be marked as ""critical"" because it blocks YARN users from encrypting RPC in their Hadoop clusters.",Critical,FALSE,Over-decomposition
Add privacy policy in web site,https://issues.apache.org/jira/browse/AMBARI-766,As the web site use google analytics privacy policy page must be added.,B: The website needs a Google Analytics privacy policy page added.,Major,TRUE,
Thrift Server 1 uses different QOP settings than RPC and Thrift Server 2 and can easily be misconfigured so there is no encryption when the operator expects it.,https://issues.apache.org/jira/browse/HBASE-17513,"As of HBASE-14400 the setting hbase.thrift.security.qop was unified to behave the same as the general HBase RPC protection. However, this only happened for the Thrift2 server. The Thrift server found in the thrift package (aka Thrift Server 1) still hard codes the old configs of 'auth', 'auth-int', and 'auth-conf'.

Additionally, these Quality of Protection (qop) settings are used only by the SASL transport. If a user configures the HBase Thrift Server to make use of the HTTP transport (to enable doAs proxying e.g. for Hue) then a QOP setting of 'privacy' or 'auth-conf' won't get them encryption as expected.

We should

1) update hbase-thrift/src/main/.../thrift/ThriftServerRunner to rely on SaslUtil to use the same 'authentication', 'integrity', 'privacy' configs in a backward compatible way
2) also have ThriftServerRunner warn when both hbase.thrift.security.qop and hbase.regionserver.thrift.http are set, since the latter will cause the former to be ignored. (users should be directed to hbase.thrift.ssl.enabled and related configs to ensure their transport is encrypted when using the HTTP transport.)","B: Update hbase-thrift/src/main/.../thrift/ThriftServerRunner to rely on SaslUtil to use the same 'authentication', 'integrity', 'privacy' configs in a backward compatible way.  
B: Modify ThriftServerRunner to warn when both hbase.thrift.security.qop and hbase.regionserver.thrift.http are set, directing users to hbase.thrift.ssl.enabled and related configs for encryption when using the HTTP transport.  
B: Ensure that the Thrift server found in the thrift package (Thrift Server 1) no longer hard codes the old configs of 'auth', 'auth-int', and 'auth-conf'.  
B: Investigate and clarify the behavior of QOP settings when the HBase Thrift Server is configured to use the HTTP transport, ensuring that expected encryption is achieved.",Critical,FALSE,Incorrect Interpretation of Solutions
Missing localization strings in the installer,https://issues.apache.org/jira/browse/FLEX-34392,"the following strings aren't localized 
Select AIR and Flash Player 
Select Flex Version 
Select AIR Version 
Select Flash Player Version 
anonymous usage statics will be collected in accordance with our privacy policy.","B: The string ""Select AIR and Flash Player"" isn't localized.  
B: The string ""Select Flex Version"" isn't localized.  
B: The string ""Select AIR Version"" isn't localized.  
B: The string ""Select Flash Player Version"" isn't localized.  
B: The string ""anonymous usage statics will be collected in accordance with our privacy policy."" isn't localized.",Minor,TRUE,
Use SaslUtil to set Sasl.QOP in 'Thrift',https://issues.apache.org/jira/browse/HBASE-19118,"In Configure the Thrift Gateway, it says ""set the property hbase.thrift.security.qop to one of the following three values: privacy, integrity, authentication"", which would lead to failure of starting up a thrift server. 
In fact, the value of hbase.thrift.security.qop should be auth, auth-int, auth-conf, according to the documentation of Sasl.QOP","B: In Configure the Thrift Gateway, the documentation incorrectly states that the property hbase.thrift.security.qop can be set to ""privacy, integrity, authentication"". 

B: The property hbase.thrift.security.qop should actually be set to ""auth, auth-int, auth-conf"" according to the documentation of Sasl.QOP. 

B: Starting up a thrift server fails when the incorrect values for hbase.thrift.security.qop are used.",Major,FALSE,Over-decomposition
Netbeans not allowed to access personnal files and folder under macOS,https://issues.apache.org/jira/browse/NETBEANS-5004,"With the new privacy and security features enforced macOS Catalina, Netbeans and any of its subprocesses are not allowed to access any of the personnal files and folders (e.g.: Downloads, Documents...).

Normally, a system prompt should ask the user when the application attempts to access such files, but here nothing happens. For instance, when I try to access the Document directory through the ""Open file..."" menu, this directory appears empty.

The bug seems to be related to the fact that the shell script used to launch Netbeans (/bin/sh [/Applications/NetBeans/Apache NetBeans) is sandboxed.

Giving full disk access to Netbeans in system preferences did not solve the issue.

The system console error related to this bug is attached to this ticket.","B: With the new privacy and security features enforced in macOS Catalina, Netbeans is not allowed to access personal files and folders (e.g.: Downloads, Documents...).

B: When Netbeans attempts to access the Document directory through the ""Open file..."" menu, the directory appears empty.

B: The shell script used to launch Netbeans (/bin/sh [/Applications/NetBeans/Apache NetBeans) appears to be sandboxed, which may be causing access issues.

B: Granting full disk access to Netbeans in system preferences did not resolve the access issue.",Major,FALSE,Incorrect Interpretation of Solutions
Convert all Lucene web properties to use the ASF CMS,https://issues.apache.org/jira/browse/LUCENE-2748,"The new CMS has a lot of nice features (and some kinks to still work out) and Forrest just doesn't cut it anymore, so we should move to the ASF CMS: http://apache.org/dev/cms.html","B: The new CMS has a lot of nice features that need to be documented.  
B: There are some kinks in the new CMS that need to be identified and resolved.  
B: Forrest is no longer suitable for our needs and should be deprecated.  
B: We should develop a migration plan to move to the ASF CMS.  
B: The ASF CMS documentation should be reviewed and understood before migration.",Major,FALSE,Over-decomposition
PutHDFS will pass files to success when they were not successfully written with hadoop client misconfiguration,https://issues.apache.org/jira/browse/NIFI-1062,"PutHDFS will create an empty file, but the data it is attempting to write will fail with this stack trace, and the flow file gets routed to success. 

2015-10-24 11:16:19,278 WARN [Thread-4674] org.apache.hadoop.hdfs.DFSClient DataStreamer Exception 
java.lang.IllegalArgumentException: null 
at javax.security.auth.callback.NameCallback.<init>(NameCallback.java:90) ~[na:1.8.0_45] 
at com.sun.security.sasl.digest.DigestMD5Client.processChallenge(DigestMD5Client.java:324) ~[na:1.8.0_45] 
at com.sun.security.sasl.digest.DigestMD5Client.evaluateChallenge(DigestMD5Client.java:220) ~[na:1.8.0_45] 
at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslParticipant.evaluateChallengeOrResponse(SaslParticipant.java:113) ~[na:na] 
at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.doSaslHandshake(SaslDataTransferClient.java:451) ~[na:na] 
at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.getSaslStreams(SaslDataTransferClient.java:390) ~[na:na] 
at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.send(SaslDataTransferClient.java:262) ~[na:na] 
at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.checkTrustAndSend(SaslDataTransferClient.java:210) ~[na:na] 
at org.apache.hadoop.hdfs.protocol.datatransfer.sasl.SaslDataTransferClient.socketSend(SaslDataTransferClient.java:182) ~[na:na] 
at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.createBlockOutputStream(DFSOutputStream.java:1413) ~[na:na] 
at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.nextBlockOutputStream(DFSOutputStream.java:1361) ~[na:na] 
at org.apache.hadoop.hdfs.DFSOutputStream$DataStreamer.run(DFSOutputStream.java:588) ~[na:na] 
2015-10-24 11:16:19,303 INFO [Timer-Driven Process Thread-2] o.apache.nifi.processors.hadoop.PutHDFS PutHDFS[id=3c30a474-86b4-45fc-b771-95d7a1b5054d] copied StandardFlowFileRecord[uuid=5a3deada-9739-474f-a83d-0447ad5aefd9,claim=StandardContentClaim [resourceClaim=StandardResourceClaim[id=1445694733273-1, container=default, section=1], offset=87, length=29],offset=0,name=x11.txt,size=29] to HDFS at /use/hdfs/x11.txt in 56 milliseconds at a rate of 511 bytes/sec","B: PutHDFS creates an empty file when it should write data.

B: The flow file gets routed to success even when there is an error in writing data.

B: An IllegalArgumentException occurs during the data writing process due to a null argument.

B: The stack trace indicates a failure in the SASL handshake process during data transfer.",Major,FALSE,Over-analysis
"When a cube built successfully with around 170 measures, some queries cannot be executed",https://issues.apache.org/jira/browse/KYLIN-1518,"A cube with the same data model, the same cube definition except the number of measures. If the number is around 150, the same query can be executed successfully. The error log is as follows: 

at org.apache.calcite.avatica.Helper.createException(Helper.java:41) 
at org.apache.calcite.avatica.AvaticaStatement.executeInternal(AvaticaStatement.java:112) 
at org.apache.calcite.avatica.AvaticaStatement.executeQuery(AvaticaStatement.java:130) 
at org.apache.kylin.rest.service.QueryService.execute(QueryService.java:361) 
at org.apache.kylin.rest.service.QueryService.queryWithSqlMassage(QueryService.java:276) 
at org.apache.kylin.rest.service.QueryService.query(QueryService.java:118) 
at org.apache.kylin.rest.service.QueryService$$FastClassByCGLIB$$4957273f.invoke(<generated>) 
at net.sf.cglib.proxy.MethodProxy.invoke(MethodProxy.java:204) 
at org.springframework.aop.framework.Cglib2AopProxy$DynamicAdvisedInterceptor.intercept(Cglib2AopProxy.java:618) 
at org.apache.kylin.rest.service.QueryService$$EnhancerByCGLIB$$ab2dbbe7.query(<generated>) 
at org.apache.kylin.rest.controller.QueryController.doQueryWithCache(QueryController.java:191) 
at org.apache.kylin.rest.controller.QueryController.query(QueryController.java:95) 
at sun.reflect.GeneratedMethodAccessor169.invoke(Unknown Source) 
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) 
at java.lang.reflect.Method.invoke(Method.java:606) 
at org.springframework.web.method.support.InvocableHandlerMethod.invoke(InvocableHandlerMethod.java:213) 
at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:126) 
at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:96) 
at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:617) 
at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:578) 
at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:80) 
at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:923) 
at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:852) 
at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:882) 
at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:789) 
at javax.servlet.http.HttpServlet.service(HttpServlet.java:646) 
at javax.servlet.http.HttpServlet.service(HttpServlet.java:727) 
at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:303) 
at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) 
at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:52) 
at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241) 
at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:330) 
at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.invoke(FilterSecurityInterceptor.java:118) 
at org.springframework.security.web.access.intercept.FilterSecurityInterceptor.doFilter(FilterSecurityInterceptor.java:84) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:342) 
at org.springframework.security.web.access.ExceptionTranslationFilter.doFilter(ExceptionTranslationFilter.java:113) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:342) 
at org.springframework.security.web.session.SessionManagementFilter.doFilter(SessionManagementFilter.java:103) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:342) 
at org.springframework.security.web.authentication.AnonymousAuthenticationFilter.doFilter(AnonymousAuthenticationFilter.java:113) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:342) 
at org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter.doFilter(SecurityContextHolderAwareRequestFilter.java:54) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:342) 
at org.springframework.security.web.savedrequest.RequestCacheAwareFilter.doFilter(RequestCacheAwareFilter.java:45) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:342) 
at org.springframework.security.web.authentication.www.BasicAuthenticationFilter.doFilter(BasicAuthenticationFilter.java:150) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:342) 
at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:105) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:342) 
at org.springframework.security.web.context.SecurityContextPersistenceFilter.doFilter(SecurityContextPersistenceFilter.java:87) 
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:342) 
at org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:192) 
at org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:160) 
at org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:346) 
at org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:259) 
at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241) 
at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) 
at com.thetransactioncompany.cors.CORSFilter.doFilter(CORSFilter.java:195) 
at com.thetransactioncompany.cors.CORSFilter.doFilter(CORSFilter.java:266) 
at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241) 
at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208) 
at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:220) 
at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:122) 
at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:504) 
at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:170) 
at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:103) 
at org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:950) 
at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:116) 
at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:421) 
at org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1074) 
at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:611) 
at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:314) 
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145) 
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615) 
at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61) 
at java.lang.Thread.run(Thread.java:745) 
Caused by: java.lang.IndexOutOfBoundsException: Index: 187, Size: 186 
at java.util.ArrayList.rangeCheck(ArrayList.java:635) 
at java.util.ArrayList.get(ArrayList.java:411) 
at org.apache.calcite.rex.RexProgramBuilder$RegisterInputShuttle.visitInputRef(RexProgramBuilder.java:914) 
at org.apache.calcite.rex.RexProgramBuilder$RegisterInputShuttle.visitInputRef(RexProgramBuilder.java:885) 
at org.apache.calcite.rex.RexInputRef.accept(RexInputRef.java:112) 
at org.apache.calcite.rex.RexProgramBuilder.registerInput(RexProgramBuilder.java:274) 
at org.apache.calcite.rex.RexProgramBuilder.addProject(RexProgramBuilder.java:185) 
at org.apache.calcite.rex.RexProgram.create(RexProgram.java:215) 
at org.apache.calcite.rex.RexProgram.create(RexProgram.java:184) 
at org.apache.kylin.query.relnode.OLAPProjectRel.implementEnumerable(OLAPProjectRel.java:219) 
at org.apache.kylin.query.relnode.OLAPRel$JavaImplementor.createEnumerable(OLAPRel.java:159) 
at org.apache.kylin.query.relnode.OLAPRel$JavaImplementor.createEnumerable(OLAPRel.java:155) 
at org.apache.kylin.query.relnode.OLAPRel$JavaImplementor.createEnumerable(OLAPRel.java:155) 
at org.apache.kylin.query.relnode.OLAPToEnumerableConverter.implement(OLAPToEnumerableConverter.java:97) 
at org.apache.calcite.adapter.enumerable.EnumerableRelImplementor.implementRoot(EnumerableRelImplementor.java:99) 
at org.apache.calcite.adapter.enumerable.EnumerableInterpretable.toBindable(EnumerableInterpretable.java:92) 
at org.apache.calcite.prepare.CalcitePrepareImpl$CalcitePreparingStmt.implement(CalcitePrepareImpl.java:1050) 
at org.apache.calcite.prepare.Prepare.prepareSql(Prepare.java:293) 
at org.apache.calcite.prepare.Prepare.prepareSql(Prepare.java:188) 
at org.apache.calcite.prepare.CalcitePrepareImpl.prepare2_(CalcitePrepareImpl.java:671) 
at org.apache.calcite.prepare.CalcitePrepareImpl.prepare_(CalcitePrepareImpl.java:572) 
at org.apache.calcite.prepare.CalcitePrepareImpl.prepareSql(CalcitePrepareImpl.java:541) 
at org.apache.calcite.jdbc.CalciteConnectionImpl.parseQuery(CalciteConnectionImpl.java:173) 
at org.apache.calcite.jdbc.CalciteMetaImpl.prepareAndExecute(CalciteMetaImpl.java:561) 
at org.apache.calcite.avatica.AvaticaConnection.prepareAndExecuteInternal(AvaticaConnection.java:477) 
at org.apache.calcite.avatica.AvaticaStatement.executeInternal(AvaticaStatement.java:109) 
... 75 more","B: A cube with the same data model and cube definition except for the number of measures is causing an error when the number of measures is around 150.

B: The error log indicates a java.lang.IndexOutOfBoundsException with the message ""Index: 187, Size: 186"".

B: The error occurs in the method org.apache.calcite.rex.RexProgramBuilder$RegisterInputShuttle.visitInputRef.

B: The issue is related to the implementation of the OLAPProjectRel in org.apache.kylin.query.relnode.OLAPProjectRel.implementEnumerable.",Major,FALSE,Over-analysis
